Date,Product_A,Product_B, Product_C,AllWTProducts
1-Jul,2958,1901,76,4859
1-Aug,3439,1292,388,4731
1-Sep,1989,1267,185,3256
1-Oct,2568,1582,75,4150
1-Nov,4010,2659,75,6669
1-Dec,1736,2860,495,4596
1-Jan,2118,198,0,2316
1-Feb,2886,828,421,3714
1-Mar,1318,1199,0,2517
1-Apr,2818,1117,438,3935
1-May,1750,2477,202,4227
1-Jun,4504,2054,44,6558
1-Jul,2354,2110,298,4464
1-Aug,3206,4077,351,7283
1-Sep,1952,3514,493,5466
1-Oct,3494,481,58,3975
1-Nov,1642,919,360,2561
1-Dec,961,411,247,1372
1-Jan,2091,497,250,2588
1-Feb,2570,2566,1281,5136
1-Mar,1706,2106,754,3812
1-Apr,2862,905,1001,3767
1-May,1911,2461,557,4372
1-Jun,2314,380,1592,2694
1-Jul,3608,2370,1063,5978
1-Aug,2972,1938,2011,4910
1-Sep,2809,1160,1178,3969
1-Oct,2547,783,226,3330
1-Nov,2543,2387,66,4930
1-Dec,804,1569,1178,2373
1-Jan,2109,512,41,2621
1-Feb,1845,2255,92,4100
1-Mar,1361,1030,79,2391
1-Apr,1635,2752,1114,4387
1-May,3527,2346,393,5873
1-Jun,2482,1135,1703,3617
1-Jul,2734,1805,1985,4539
1-Aug,3561,1356,2105,4917
1-Sep,2872,2710,837,5582
1-Oct,2695,2404,1605,5099
1-Nov,2856,1448,1766,4304
1-Dec,2195,1828,524,4023
1-Jan,1712,1644,159,3356
1-Feb,2135,3418,440,5553
1-Mar,3878,3402,1799,7280
1-Apr,2358,2483,1915,4841
1-May,2525,2660,2840,5185
1-Jun,3272,1975,487,5247
1-Jul,2186,2278,1124,4464
1-Aug,2693,3969,1144,6662
1-Sep,3318,4171,4087,7489
1-Oct,2307,3445,824,5752
1-Nov,2422,2599,1015,5021
1-Dec,3816,3205,246,7021
1-Jan,3117,2201,809,5318
1-Feb,2232,2057,390,4289
1-Mar,4308,3381,589,7689
1-Apr,3125,2835,2110,5960
1-May,2099,3937,2070,6036
1-Jun,3331,2596,1248,5927
1-Jul,3517,2516,1450,6033
1-Aug,3809,3227,1176,7036
1-Sep,3914,2508,2303,6422
1-Oct,5286,1809,2193,7095
1-Nov,3608,856,1420,4464
